the date,the time,TDS,Flow,Pressure
3/26/2026, 9:57:45 AM,481,14,2
3/26/2026, 9:57:45 AM,481,14,2
3/26/2026, 9:57:50 AM,476,14,2
3/26/2026, 9:57:50 AM,476,14,2
3/26/2026, 9:57:50 AM,476,14,2
3/26/2026, 9:57:55 AM,400,14,2
3/26/2026, 9:57:55 AM,400,10,2
3/26/2026, 9:57:55 AM,400,10,2
3/26/2026, 9:58:00 AM,1600,10,2
3/26/2026, 9:58:00 AM,1600,0.05,2
3/26/2026, 9:58:00 AM,1600,0.05,0.2
3/26/2026, 9:58:05 AM,467,0.05,0.2
3/26/2026, 9:58:05 AM,467,14,0.2
3/26/2026, 9:58:05 AM,467,14,3
3/26/2026, 9:58:10 AM,450,14,3
3/26/2026, 9:58:10 AM,450,12,3
3/26/2026, 9:58:10 AM,450,12,3
3/26/2026, 9:58:15 AM,453,12,3
3/26/2026, 9:58:15 AM,453,12,3
3/26/2026, 9:58:15 AM,453,12,2
3/26/2026, 9:58:20 AM,458,12,2
3/26/2026, 9:58:20 AM,458,12,2
3/26/2026, 9:58:20 AM,458,12,2
3/26/2026, 9:58:25 AM,1600,12,2
3/26/2026, 9:58:25 AM,1600,14,2
3/26/2026, 9:58:25 AM,1600,14,2
3/26/2026, 9:58:30 AM,442,14,2
3/26/2026, 9:58:30 AM,442,11,2
3/26/2026, 9:58:30 AM,442,11,2
3/26/2026, 9:58:35 AM,461,11,2
3/26/2026, 9:58:35 AM,461,11,2
3/26/2026, 9:58:35 AM,461,11,2
3/26/2026, 9:58:40 AM,485,11,2
3/26/2026, 9:58:40 AM,485,0.05,2
3/26/2026, 9:58:40 AM,485,0.05,0.2
3/26/2026, 9:58:45 AM,439,0.05,0.2
3/26/2026, 9:58:45 AM,439,14,0.2
3/26/2026, 9:58:45 AM,439,14,3
3/26/2026, 9:58:50 AM,1600,14,3
3/26/2026, 9:58:50 AM,1600,10,3
3/26/2026, 9:58:50 AM,1600,10,3
3/26/2026, 9:58:55 AM,402,11,2
3/26/2026, 9:59:00 AM,492,11,2
3/26/2026, 9:59:00 AM,492,11,2
3/26/2026, 9:59:00 AM,492,11,2
3/26/2026, 9:59:05 AM,426,11,2
3/26/2026, 9:59:05 AM,426,13,2
3/26/2026, 9:59:05 AM,426,13,3
3/26/2026, 9:59:10 AM,498,13,3
3/26/2026, 9:59:10 AM,498,12,3
3/26/2026, 9:59:10 AM,498,12,3
3/26/2026, 9:59:15 AM,1600,12,3
3/26/2026, 9:59:15 AM,1600,11,3
3/26/2026, 9:59:15 AM,1600,11,2
3/26/2026, 9:59:20 AM,451,11,2
3/26/2026, 9:59:20 AM,451,0.05,2
3/26/2026, 9:59:20 AM,451,0.05,0.2
3/26/2026, 9:59:25 AM,441,0.05,0.2
3/26/2026, 9:59:25 AM,441,11,0.2
3/26/2026, 9:59:25 AM,441,11,2
3/26/2026, 9:59:30 AM,400,11,2
3/26/2026, 9:59:30 AM,400,14,2
3/26/2026, 9:59:30 AM,400,14,2
3/26/2026, 9:59:35 AM,460,14,2
3/26/2026, 9:59:35 AM,460,13,2
3/26/2026, 9:59:35 AM,460,13,2
3/26/2026, 9:59:40 AM,1600,13,2
3/26/2026, 9:59:40 AM,1600,10,2
3/26/2026, 9:59:40 AM,1600,10,3
3/26/2026, 9:59:45 AM,434,10,3
3/26/2026, 9:59:45 AM,434,11,3
3/26/2026, 9:59:45 AM,434,11,3
3/26/2026, 9:59:50 AM,442,11,3
3/26/2026, 9:59:50 AM,442,13,3
3/26/2026, 9:59:50 AM,442,13,2
3/26/2026, 9:59:55 AM,439,13,2
3/26/2026, 9:59:55 AM,439,13,2
3/26/2026, 9:59:55 AM,439,13,2
3/26/2026, 10:00:00 AM,414,13,2
3/26/2026, 10:00:00 AM,414,0.05,2
3/26/2026, 10:00:00 AM,414,0.05,0.2
3/26/2026, 10:00:05 AM,1600,0.05,0.2
3/26/2026, 10:00:05 AM,1600,10,0.2
3/26/2026, 10:00:05 AM,1600,10,2
3/26/2026, 10:00:10 AM,494,10,2
3/26/2026, 10:00:10 AM,494,14,2
3/26/2026, 10:00:10 AM,494,14,2
3/26/2026, 10:00:15 AM,400,14,2
3/26/2026, 10:00:15 AM,400,13,2
3/26/2026, 10:00:15 AM,400,13,2
3/26/2026, 10:00:20 AM,488,13,2
3/26/2026, 10:00:20 AM,488,13,2
3/26/2026, 10:00:20 AM,488,13,2
3/26/2026, 10:00:25 AM,464,13,2
3/26/2026, 10:00:25 AM,464,11,2
3/26/2026, 10:00:25 AM,464,11,3
3/26/2026, 10:00:30 AM,1600,11,3
3/26/2026, 10:00:30 AM,1600,10,3
3/26/2026, 10:00:30 AM,1600,10,3
3/26/2026, 10:00:35 AM,435,10,3
3/26/2026, 10:00:35 AM,435,13,3
3/26/2026, 10:00:35 AM,435,13,3
3/26/2026, 10:00:40 AM,436,13,3
3/26/2026, 10:00:40 AM,436,0.05,3
3/26/2026, 10:00:40 AM,436,0.05,0.2
3/26/2026, 10:00:45 AM,483,0.05,0.2
3/26/2026, 10:00:45 AM,483,10,0.2
3/26/2026, 10:00:45 AM,483,10,3
3/26/2026, 10:00:50 AM,412,10,3
3/26/2026, 10:00:50 AM,412,11,3
3/26/2026, 10:00:50 AM,412,11,3
3/26/2026, 10:00:55 AM,1600,11,3
3/26/2026, 10:00:55 AM,1600,14,3
3/26/2026, 10:00:55 AM,1600,14,3
3/26/2026, 10:01:00 AM,498,14,3
3/26/2026, 10:01:00 AM,498,14,3
3/26/2026, 10:01:00 AM,498,14,3
3/26/2026, 10:01:05 AM,412,14,3
3/26/2026, 10:01:05 AM,412,13,3
3/26/2026, 10:01:05 AM,412,13,3
3/26/2026, 10:01:10 AM,402,13,3
3/26/2026, 10:01:10 AM,402,13,3
3/26/2026, 10:01:10 AM,402,13,2
3/26/2026, 10:01:15 AM,439,13,2
3/26/2026, 10:01:15 AM,439,14,2
3/26/2026, 10:01:15 AM,439,14,3
3/26/2026, 10:01:20 AM,1600,14,3
3/26/2026, 10:01:20 AM,1600,0.05,3
3/26/2026, 10:01:20 AM,1600,0.05,0.2
3/26/2026, 10:01:25 AM,443,0.05,0.2
3/26/2026, 10:01:25 AM,443,14,0.2
3/26/2026, 10:01:25 AM,443,14,2
3/26/2026, 10:01:30 AM,447,14,2
3/26/2026, 10:01:30 AM,447,14,2
3/26/2026, 10:01:30 AM,447,14,2
3/26/2026, 10:01:35 AM,402,14,2
3/26/2026, 10:01:35 AM,402,10,2
3/26/2026, 10:01:35 AM,402,10,3
3/26/2026, 10:01:40 AM,456,10,3
3/26/2026, 10:01:40 AM,456,12,3
3/26/2026, 10:01:40 AM,456,12,2
3/26/2026, 10:01:45 AM,1600,12,2
3/26/2026, 10:01:45 AM,1600,12,2
3/26/2026, 10:01:45 AM,1600,12,3
